	m1	m2	m3	
rows: 	256	256	256
cols: 	1	1	1
dims: 	2	2	2
chns: 	1	1	1
step: 	4	4	4

data: 
Range	m1.data		  m2.data		m3.data	
0	       0		       0		   14425	
1	       0		       0		    8180	
2	       0		       0		    2597	
3	       0		       0		     515	
4	       0		       0		     258	
5	       0		       0		     212	
6	       0		       0		     201	
7	       0		       0		     187	
8	       0		       0		     168	
9	       0		       0		     159	
10	       0		       0		     194	
11	       0		       0		     200	
12	       0		       0		     187	
13	       0		       0		     189	
14	       0		       0		     209	
15	       0		       0		     216	
16	       0		       0		     193	
17	       0		       0		     202	
18	       0		       0		     193	
19	       0		       0		     210	
20	       0		       0		     205	
21	       0		       0		     186	
22	       0		       0		     207	
23	       0		       0		     225	
24	       0		       0		     226	
25	       0		       0		     254	
26	       0		       0		     278	
27	       3		       0		     256	
28	       9		       0		     235	
29	      14		       0		     250	
30	      17		       0		     240	
31	      38		       0		     250	
32	      40		       1		     293	
33	      68		       0		     316	
34	      94		       0		     389	
35	     116		       4		     438	
36	     145		       0		     487	
37	     137		       7		     548	
38	     141		       3		     590	
39	     175		      11		     692	
40	     172		       9		     809	
41	     191		       9		     856	
42	     225		      16		     911	
43	     206		      19		     962	
44	     217		      30		    1082	
45	     209		      29		    1206	
46	     197		      53		    1217	
47	     207		      44		    1190	
48	     226		      81		    1323	
49	     197		      97		    1380	
50	     191		     103		    1444	
51	     201		     112		    1460	
52	     181		     142		    1596	
53	     213		     144		    1578	
54	     197		     191		    1489	
55	     227		     199		    1411	
56	     198		     217		    1209	
57	     200		     225		    1156	
58	     166		     264		    1005	
59	     147		     262		    1051	
60	     160		     276		    1042	
61	     148		     298		    1002	
62	     165		     352		    1007	
63	     171		     307		    1065	
64	     144		     389		     976	
65	     194		     386		     959	
66	     179		     363		    1114	
67	     211		     456		    1013	
68	     207		     446		    1072	
69	     182		     482		     987	
70	     233		     488		     923	
71	     209		     527		     909	
72	     200		     586		     817	
73	     225		     605		     800	
74	     213		     672		     738	
75	     203		     731		     770	
76	     202		     727		     707	
77	     232		     753		     723	
78	     207		     774		     729	
79	     220		     761		     715	
80	     268		     842		     728	
81	     248		     962		     654	
82	     276		    1056		     716	
83	     279		    1135		     674	
84	     290		    1271		     713	
85	     320		    1251		     658	
86	     331		    1307		     662	
87	     406		    1231		     696	
88	     456		    1084		     761	
89	     511		    1170		     729	
90	     557		    1091		     709	
91	     600		    1060		     651	
92	     697		    1081		     707	
93	     708		     987		     691	
94	     731		     868		     636	
95	     703		     773		     589	
96	     648		     758		     563	
97	     604		     925		     557	
98	     582		     761		     526	
99	     573		     858		     553	
100	     526		     891		     558	
101	     484		     922		     567	
102	     453		     794		     624	
103	     449		     895		     723	
104	     413		    1111		     772	
105	     471		    1048		     877	
106	     486		    1016		     852	
107	     538		    1063		     785	
108	     530		     911		     740	
109	     485		     886		     756	
110	     500		     924		     760	
111	     561		     841		     726	
112	     576		     767		     784	
113	     588		     912		     841	
114	     529		     933		     792	
115	     525		     876		     840	
116	     514		     742		     802	
117	     515		     643		     781	
118	     452		     745		     872	
119	     459		     825		     922	
120	     431		     971		     970	
121	     481		    1072		     978	
122	     526		    1045		     961	
123	     566		     985		    1018	
124	     517		     956		     819	
125	     547		     961		     819	
126	     562		     781		     815	
127	     560		     780		     743	
128	     689		     884		     740	
129	     772		     832		     641	
130	     732		     841		     668	
131	     841		     834		     619	
132	     994		     791		     638	
133	    1132		     827		     655	
134	    1087		     773		     730	
135	     944		     786		     751	
136	     949		     863		     698	
137	     973		     831		     532	
138	    1012		     807		     643	
139	     941		     827		     726	
140	     883		     802		     609	
141	     822		     824		     621	
142	     846		     875		     618	
143	     937		     748		     775	
144	     901		     765		     785	
145	     900		     877		     772	
146	     852		     900		     920	
147	    1011		     905		     851	
148	    1090		     871		     730	
149	    1221		     867		     694	
150	    1171		     909		     743	
151	    1085		     843		     700	
152	    1218		     798		     695	
153	    1255		     839		     676	
154	    1219		     842		     667	
155	    1128		     942		     573	
156	    1105		     962		     456	
157	    1145		    1032		     473	
158	    1223		     984		     553	
159	    1318		    1083		     554	
160	    1308		    1126		     535	
161	    1237		    1206		     622	
162	    1238		    1216		     582	
163	    1124		    1359		     518	
164	    1059		    1426		     455	
165	    1042		    1346		     428	
166	    1043		    1355		     486	
167	    1049		    1419		     474	
168	    1029		    1500		     500	
169	     937		    1518		     483	
170	     958		    1590		     478	
171	     955		    1667		     495	
172	    1012		    1633		     493	
173	     861		    1440		     575	
174	     820		    1354		     575	
175	     786		    1401		     584	
176	     875		    1393		     536	
177	     846		    1319		     539	
178	     870		    1388		     537	
179	     941		    1431		     557	
180	     996		    1425		     517	
181	    1031		    1318		     499	
182	    1083		    1379		     536	
183	    1152		    1425		     551	
184	    1208		    1651		     508	
185	    1269		    1697		     524	
186	    1258		    1669		     534	
187	    1233		    1623		     499	
188	    1280		    1733		     499	
189	    1282		    1770		     517	
190	    1315		    2075		     522	
191	    1346		    1930		     520	
192	    1423		    1762		     466	
193	    1503		    1619		     462	
194	    1641		    1526		     423	
195	    1659		    1328		     412	
196	    1754		    1170		     445	
197	    1588		    1268		     394	
198	    1534		    1178		     405	
199	    1355		    1042		     375	
200	    1207		     962		     384	
201	    1132		     873		     399	
202	    1095		     889		     369	
203	    1166		     803		     400	
204	    1289		     782		     366	
205	    1389		     687		     404	
206	    1352		     651		     371	
207	    1279		     645		     366	
208	    1313		     690		     356	
209	    1385		     728		     332	
210	    1559		     700		     309	
211	    1625		     652		     308	
212	    1596		     632		     279	
213	    1596		     680		     236	
214	    1629		     582		     234	
215	    2133		     568		     274	
216	    2396		     567		     284	
217	    2567		     533		     330	
218	    2323		     491		     355	
219	    2389		     485		     348	
220	    2481		     429		     423	
221	    2244		     421		     423	
222	    1736		     400		     520	
223	    1447		     402		     549	
224	    1219		     442		     632	
225	    1233		     459		     579	
226	    1129		     519		     392	
227	    1110		     484		     319	
228	     890		     579		     286	
229	     980		     574		     213	
230	     898		     483		     191	
231	     720		     431		     130	
232	     677		     395		      95	
233	     720		     345		      86	
234	     589		     286		      92	
235	     384		     261		      78	
236	     308		     232		      51	
237	     294		     248		      43	
238	     229		     206		      29	
239	     211		     196		      15	
240	     264		     187		      12	
241	     264		     177		       3	
242	     277		     141		       2	
243	     265		     142		       1	
244	     288		     118		       1	
245	     275		      78		       1	
246	     291		      45		       1	
247	     282		      22		       0	
248	     214		       6		       0	
249	     167		       2		       0	
250	     118		       3		       0	
251	      89		       0		       0	
252	      43		       0		       0	
253	      15		       0		       0	
254	       1		       0		       0	
255	       0		       0		       0	

